,pkg_len,pkg_iat,pkt_dir
0,1440,10,-1
1,20,8,1
2,1440,29,-1
3,1042,8,-1
4,20,7,1
5,566,2209,1
6,20,102,-1
7,1440,18320,-1
8,1440,21,-1
9,20,7,1
10,1136,22,-1
11,1438,6,-1
12,20,5,1
13,1440,17,-1
14,1440,5,-1
15,20,5,1
16,1440,14,-1
17,1440,5,-1
18,20,4,1
19,1440,24,-1
20,1440,6,-1
21,20,4,1
22,1376,18,-1
23,1431,6,-1
24,20,50,1
25,1435,1418,-1
26,1436,23,-1
27,20,12,1
28,1137,38,-1
29,1393,426,-1
30,20,20,1
31,1438,526,-1
32,1270,11,-1
33,20,9,1
34,564,4132,1
35,20,141,-1
36,1439,2454,-1
37,1440,26,-1
38,20,9,1
39,1241,32,-1
40,1438,1985,-1
41,20,26,1
42,1440,52,-1
43,1436,8,-1
44,20,7,1
45,1427,25,-1
46,1406,5,-1
47,20,4,1
48,1066,21,-1
49,1436,5,-1
50,20,3,1
51,1268,17,-1
52,567,495,1
53,20,70,-1
54,1432,13792,-1
55,1440,45,-1
56,20,15,1
57,1440,40,-1
58,1110,9,-1
59,20,8,1
60,1387,4714,-1
61,1440,226,-1
62,20,17,1
63,1435,37,-1
64,1440,11,-1
65,20,8,1
66,1234,32,-1
67,1440,8826,-1
68,20,32,1
69,1440,40,-1
70,1092,10,-1
71,20,7,1
72,20,280,-1
73,568,1690,1
74,20,106,-1
75,1440,14124,-1
76,1430,36,-1
77,20,18,1
78,1435,70,-1
79,1435,15,-1
80,20,10,1
81,1401,36,-1
82,1440,13,-1
83,20,10,1
84,708,34,-1
85,1436,222,-1
86,20,20,1
87,1440,38,-1
88,1425,10,-1
89,20,8,1
90,1289,38,-1
91,568,4935,1
92,20,235,-1
93,1440,23869,-1
94,1414,30,-1
95,20,15,1
96,1428,6317,-1
97,1440,23,-1
98,20,13,1
99,1079,52,-1
100,567,1927,1
101,20,152,-1
102,1436,31712,-1
103,1429,34,-1
104,20,10,1
105,1439,46,-1
106,1440,10,-1
107,20,6,1
108,1440,24,-1
109,1440,6,-1
110,20,5,1
111,1054,24,-1
112,1440,6,-1
113,20,5,1
114,1440,17,-1
115,1185,5,-1
116,20,6,1
117,1438,22,-1
118,1438,8,-1
119,20,5,1
120,1428,4,-1
121,20,6,1
122,1440,22,-1
123,1091,7,-1
124,20,6,1
125,1347,6238,-1
126,1436,4635,-1
127,20,34,1
128,1313,56,-1
129,1440,1387,-1
130,20,22,1
131,1440,43,-1
132,1397,11,-1
133,1423,6,-1
134,1438,5,-1
135,1330,8,-1
136,1415,7,-1
137,1330,6,-1
138,20,238,1
139,1433,748,-1
140,1440,12,-1
141,20,8,1
142,1432,46,-1
143,1419,9,-1
144,20,10,1
145,1440,2259,-1
146,1440,17,-1
147,20,8,1
148,885,36,-1
149,1439,383,-1
150,20,15,1
151,1218,38,-1
152,1436,177,-1
153,20,18,1
154,1440,43,-1
155,1275,11,-1
156,20,9,1
157,1340,57,-1
158,564,3428,1
159,20,176,-1
160,1440,7304,-1
161,1438,24,-1
162,20,14,1
163,1437,33,-1
164,1119,10,-1
165,20,5,1
166,1377,2527,-1
167,1433,864,-1
168,1439,401,-1
169,1034,14,-1
170,20,9,1
171,1439,50,-1
172,1080,11,-1
173,20,9,1
174,1439,32,-1
175,1196,9,-1
176,20,8,1
177,1440,26,-1
178,1440,8,-1
179,20,6,1
180,1440,27,-1
181,1440,9,-1
182,20,7,1
183,1440,28,-1
184,1268,8,-1
185,20,8,1
186,565,808,1
187,20,93,-1
188,1435,53849,-1
189,1440,49,-1
190,20,13,1
191,1391,40,-1
192,953,30,-1
193,1376,8,-1
194,20,5,1
195,1425,27514,-1
196,1438,34,-1
197,20,13,1
198,1346,40,-1
199,1439,9,-1
200,20,8,1
201,1440,45,-1
202,1440,11,-1
203,20,9,1
204,1440,30,-1
205,1156,9,-1
206,20,8,1
207,1440,280,-1
208,1440,12,-1
209,20,8,1
210,1440,29,-1
211,1400,9,-1
212,20,7,1
213,1440,32,-1
214,1175,9,-1
215,20,11,1
216,1377,65,-1
217,1440,306,-1
218,20,13,1
219,1440,32,-1
220,1098,6,-1
221,20,5,1
222,1440,19,-1
223,1418,4,-1
224,20,4,1
225,1440,136,-1
226,1440,7,-1
227,20,4,1
228,1040,15,-1
229,1437,3,-1
230,20,3,1
231,1435,9,-1
232,1115,3,-1
233,20,4,1
234,1437,6,-1
235,1158,3,-1
236,1430,2,-1
237,1421,2,-1
238,1433,3,-1
239,1410,2,-1
240,1283,1132,-1
241,20,23,1
242,1292,45024,-1
243,565,2110,1
244,20,171,-1
245,1418,63116,-1
246,1409,64,-1
247,20,20,1
248,1237,55,-1
249,1437,456,-1
250,20,24,1
251,1438,49,-1
252,1431,12,-1
253,20,8,1
254,1027,28,-1
255,566,646,1
256,20,67,-1
257,1433,16261,-1
258,1440,41,-1
259,20,14,1
260,1440,35,-1
261,1394,10,-1
262,20,7,1
263,1407,26,-1
264,1435,20820,-1
265,20,49,1
266,1440,57,-1
267,1192,14,-1
268,20,10,1
269,1386,1572,-1
270,1440,290,-1
271,20,22,1
272,1440,45,-1
273,1265,9,-1
274,20,9,1
275,1440,40,-1
276,1440,11,-1
277,20,8,1
278,1440,31,-1
279,1137,11,-1
280,20,7,1
281,566,1401,1
282,20,98,-1
283,1440,2264,-1
284,1359,22,-1
285,20,12,1
286,1440,89,-1
287,1409,12,-1
288,1190,18,-1
289,1421,5,-1
290,20,3,1
291,20,202,-1
292,20,48507,-1
293,1429,3424,-1
294,20,33,1
295,1440,26,-1
296,1300,7,-1
297,1429,4,-1
298,1312,3,-1
299,20,210,1
300,1436,165,-1
301,1439,7,-1
302,20,5,1
303,1433,11,-1
304,1430,3,-1
305,20,3,1
306,1434,13,-1
307,1437,3,-1
308,20,3,1
309,1421,7,-1
310,1326,3,-1
311,20,134,1
312,1280,22,-1
313,1183,6,-1
314,20,265,1
315,563,2475,1
316,20,147,-1
317,1433,20442,-1
318,1438,29,-1
319,20,11,1
320,1440,32,-1
321,1434,7,-1
322,20,5,1
323,1440,15,-1
324,1431,3,-1
325,20,3,1
326,1440,13,-1
327,1435,4,-1
328,20,3,1
329,1440,11,-1
330,1026,3,-1
331,20,3,1
332,571,1584,1
333,20,14,-1
334,1440,10605,-1
335,1416,21,-1
336,20,19,1
337,1311,44,-1
338,1293,16271,-1
339,20,33,1
340,1439,4440,-1
341,1440,28,-1
342,20,14,1
343,1166,45,-1
344,1084,11,-1
345,20,11,1
346,1440,75,-1
347,1438,10,-1
348,20,6,1
349,1226,29,-1
350,1424,8929,-1
351,20,25,1
352,1440,99,-1
353,1311,11,-1
354,20,10,1
355,564,2412,1
356,20,219,-1
357,1435,7702,-1
358,1440,23,-1
359,20,12,1
360,1421,53,-1
361,1305,9,-1
362,20,4,1
363,564,2188,1
364,20,55,-1
365,1440,1373,-1
366,1435,15,-1
367,20,9,1
368,1261,24,-1
369,569,2408,1
370,20,50,-1
371,1440,5327,-1
372,1393,24,-1
373,20,13,1
374,1310,47,-1
375,565,1679,1
376,20,172,-1
377,1463,2292,1
378,98,148,1
379,20,99,-1
